a	ㄚ
pang	ㄆㄤ
pao	ㄆㄠ
pei	ㄆㄟ
pen	ㄆㄣ
peng	ㄆㄥ
pi	ㄆㄧ
pian	ㄆㄧㄢ
piao	ㄆㄧㄠ
pie	ㄆㄧㄝ
pin	ㄆㄧㄣ
ping	ㄆㄧㄥ
po	ㄆㄛ
pou	ㄆㄡ
pu	ㄆㄨ
qi	ㄑㄧ
qia	ㄑㄧㄚ
qian	ㄑㄧㄢ
qiang	ㄑㄧㄤ
qiao	ㄑㄧㄠ
qie	ㄑㄧㄝ
qin	ㄑㄧㄣ
qing	ㄑㄧㄥ
qiong	ㄑㄩㄥ
qiu	ㄑㄧㄡ
qu	ㄑㄩ
quan	ㄑㄩㄢ
qvan	ㄑㄩㄢ
que	ㄑㄩㄝ
qun	ㄑㄩㄣ
ran	ㄖㄢ
rang	ㄖㄤ
rao	ㄖㄠ
re	ㄖㄜ
ren	ㄖㄣ
reng	ㄖㄥ
ri	ㄖ
rong	ㄖㄨㄥ
rou	ㄖㄡ
ru	ㄖㄨ
rua	ㄖㄨㄚ
ruan	ㄖㄨㄢ
rui	ㄖㄨㄟ
run	ㄖㄨㄣ
ruo	ㄖㄨㄛ
sa	ㄙㄚ
sai	ㄙㄞ
san	ㄙㄢ
sang	ㄙㄤ
sao	ㄙㄠ
se	ㄙㄜ
sen	ㄙㄣ
seng	ㄙㄥ
sha	ㄕㄚ
shai	ㄕㄞ
shan	ㄕㄢ
shang	ㄕㄤ
shao	ㄕㄠ
she	ㄕㄜ
shei	ㄕㄟ
shen	ㄕㄣ
sheng	ㄕㄥ
shi	ㄕ
shou	ㄕㄡ
shu	ㄕㄨ
shua	ㄕㄨㄚ
shuai	ㄕㄨㄞ
shuan	ㄕㄨㄢ
shuang	ㄕㄨㄤ
shui	ㄕㄨㄟ
shun	ㄕㄨㄣ
shuo	ㄕㄨㄛ
si	ㄙ
song	ㄙㄨㄥ
sou	ㄙㄡ
su	ㄙㄨ
suan	ㄙㄨㄢ
sui	ㄙㄨㄟ
sun	ㄙㄨㄣ
suo	ㄙㄨㄛ
ta	ㄊㄚ
tai	ㄊㄞ
tan	ㄊㄢ
tang	ㄊㄤ
tao	ㄊㄠ
te	ㄊㄜ
tei	ㄊㄟ
teng	ㄊㄥ
ti	ㄊㄧ
tian	ㄊㄧㄢ
tiao	ㄊㄧㄠ
tie	ㄊㄧㄝ
ting	ㄊㄧㄥ
tong	ㄊㄨㄥ
tou	ㄊㄡ
tsuo	ㄘㄨㄛ
tu	ㄊㄨ
tuan	ㄊㄨㄢ
tui	ㄊㄨㄟ
tun	ㄊㄨㄣ
tuo	ㄊㄨㄛ
tzan	ㄗㄢ
wa	ㄨㄚ
wai	ㄨㄞ
wan	ㄨㄢ
wang	ㄨㄤ
wei	ㄨㄟ
wen	ㄨㄣ
weng	ㄨㄥ
wo	ㄨㄛ
wong	ㄨㄥ
wu	ㄨ
xi	ㄒㄧ
xia	ㄒㄧㄚ
xian	ㄒㄧㄢ
xiang	ㄒㄧㄤ
xiao	ㄒㄧㄠ
xie	ㄒㄧㄝ
xin	ㄒㄧㄣ
xing	ㄒㄧㄥ
xiong	ㄒㄩㄥ
xiu	ㄒㄧㄡ
xu	ㄒㄩ
xuan	ㄒㄩㄢ
xue	ㄒㄩㄝ
xun	ㄒㄩㄣ
ya	ㄧㄚ
yai	ㄧㄞ
yan	ㄧㄢ
yang	ㄧㄤ
yao	ㄧㄠ
ye	ㄧㄝ
yi	ㄧ
yin	ㄧㄣ
ying	ㄧㄥ
yo	ㄧㄛ
yong	ㄩㄥ
you	ㄧㄡ
yu	ㄩ
yuan	ㄩㄢ
yue	ㄩㄝ
yve	ㄩㄝ
yun	ㄩㄣ
za	ㄗㄚ
zai	ㄗㄞ
zan	ㄗㄢ
zang	ㄗㄤ
zao	ㄗㄠ
ze	ㄗㄜ
zei	ㄗㄟ
zen	ㄗㄣ
zeng	ㄗㄥ
zha	ㄓㄚ
zhai	ㄓㄞ
zhan	ㄓㄢ
zhang	ㄓㄤ
zhao	ㄓㄠ
zhe	ㄓㄜ
zhei	ㄓㄟ
zhen	ㄓㄣ
zheng	ㄓㄥ
zhi	ㄓ
zhong	ㄓㄨㄥ
zhou	ㄓㄡ
zhu	ㄓㄨ
zhua	ㄓㄨㄚ
zhuai	ㄓㄨㄞ
zhuan	ㄓㄨㄢ
zhuang	ㄓㄨㄤ
zhui	ㄓㄨㄟ
zhun	ㄓㄨㄣ
zhuo	ㄓㄨㄛ
zi	ㄗ
zong	ㄗㄨㄥ
zou	ㄗㄡ
zu	ㄗㄨ
zuan	ㄗㄨㄢ
zui	ㄗㄨㄟ
zun	ㄗㄨㄣ
zuo	ㄗㄨㄛ
